AddressLine1,AddressLine2,AddressLine3,BusinessName,BusinessType,BusinessTypeID,ChangesByServerID,FHRSID,LocalAuthorityBusinessID,LocalAuthorityCode,LocalAuthorityEmailAddress,LocalAuthorityName,LocalAuthorityWebSite,NewRatingPending,PostCode,RatingDate,RatingKey,RatingValue,SchemeType,longitude,latitude,Hygiene,Structural,ConfidenceInManagement
6 VILLIERS STREET,,LONDON,All Bar One,Restaurant/Cafe/Canteen,1,0,411246,00271/0006/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2N 6NQ,2023-08-03,fhrs_5_en-gb,5,FHRS,-0.1242794,51.508208,0.0,5.0,0.0
60 VICTORIA STREET,,LONDON,All Bar One,Pub/bar/nightclub,7843,0,772757,14/00168/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1E 6QW,2026-04-13,fhrs_5_en-gb,5,FHRS,-0.1368126,51.4977155,0.0,5.0,0.0
BASEMENT AND GROUND FLOOR 19 HENRIETTA STREET,,LONDON,All Bar One,Pub/bar/nightclub,7843,0,411543,00478/0019/3/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2E 8QH,2026-05-14,fhrs_5_en-gb,5,FHRS,-0.1242476,51.5107345,0.0,5.0,5.0
BASEMENT AND GROUND FLOOR 48 LEICESTER SQUARE,,LONDON,All Bar One,Restaurant/Cafe/Canteen,1,0,412967,00989/0048/1/014,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2H 7LU,2026-06-08,fhrs_5_en-gb,5,FHRS,-0.1307975,51.5102096,5.0,5.0,0.0
1A BROADWAY,,LONDON,ALL GOOD CONVENIENCE,Retailers - other,4613,0,1863910,C57VKZ-TPKHGC-RQD2QP,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,SW1H 0AZ,2025-09-22,fhrs_5_en-gb,5,FHRS,-0.1342783,51.4983856,5.0,5.0,5.0
44-46 CRANBOURN STREET,,LONDON,ALL MART,Retailers - other,4613,0,1619572,EYKPY6-3Y7SD6-SKE6B3,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,WC2H 7AN,2023-11-24,fhrs_5_en-gb,5,FHRS,-0.128946,51.5110793,5.0,5.0,5.0
49-54 FOLEY STREET,,LONDON,All Souls Primary School,School/college/university,7845,0,410793,00008/0049/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1W 7JJ,2023-12-12,fhrs_5_en-gb,5,FHRS,-0.1386045,51.519848,0.0,0.0,0.0
BASEMENT AND GROUND FLOOR 61 OLD COMPTON STREET,,LONDON,ALL'ANTICO VINAIO,Takeaway/sandwich shop,7844,0,1863938,NVJKE8-HZW5BH-70TVWB,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1D 6HS,2025-11-26,fhrs_5_en-gb,5,FHRS,-0.1327943,51.5124805,,,
84 WESTBOURNE GROVE,,LONDON,Alley Cats Pizza,Restaurant/Cafe/Canteen,1,0,1918174,FNS4LF-QLV3M1-78WCQ7,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 5RT,2025-11-12,fhrs_5_en-gb,5,FHRS,-0.1933251,51.5153799,5.0,5.0,0.0
22 PADDINGTON STREET,,LONDON,Alley Cats Pizza MYB,Restaurant/Cafe/Canteen,1,0,1918169,DG77SM-Q3D6YN-9YMPL8,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1U 5QY,2026-04-28,fhrs_5_en-gb,5,FHRS,-0.1552171,51.5206766,0.0,5.0,0.0
137-143 GLOUCESTER PLACE,,LONDON,Allsop Arms Public House,Restaurant/Cafe/Canteen,1,0,428082,01354/0137/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,NW1 5AL,2024-08-05,fhrs_5_en-gb,5,FHRS,-0.1601843,51.5223107,5.0,5.0,5.0
44 WESTBOURNE GROVE,,LONDON,Alounak,Restaurant/Cafe/Canteen,1,0,946307,00743/0044/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 5SH,2022-11-28,fhrs_5_en-gb,5,FHRS,-0.1912557,51.5155908,,,
UNIT G9 KINGLY COURT KINGLY COURT,,LONDON,ALTA Restaurant,Restaurant/Cafe/Canteen,1,0,1802752,JHDRTL-JX0BST-HRBNWM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1B 5PW,2025-10-09,fhrs_5_en-gb,5,FHRS,-0.1387041,51.5124576,0.0,5.0,5.0
ROOFTOP RESTAURANT SELFRIDGES 400 OXFORD STREET,,LONDON,Alto By San Carlo,Restaurant/Cafe/Canteen,1,0,1048545,18/00108/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1A 1AB,2026-07-25,fhrs_5_en-gb,5,FHRS,-0.1528138,51.5145871,5.0,5.0,0.0
CONCESSION 11 CRAVEN ROAD,,LONDON,Altonapoli Italian Restaurant,Restaurant/Cafe/Canteen,1,0,1693252,LTX6NR-2EL3E1-0F8MQR,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 3BP,2025-10-02,fhrs_5_en-gb,5,FHRS,-0.1765708,51.5148239,5.0,5.0,5.0
75 WESTBOURNE GROVE,,LONDON,Alwaha,Restaurant/Cafe/Canteen,1,0,412272,00743/0075/0/000,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W2 4UL,2024-03-12,fhrs_5_en-gb,5,FHRS,-0.1920485,51.5152253,0.0,5.0,0.0
25 ARGYLL STREET,WEST END,LONDON,Amalfi Restaurant,Restaurant/Cafe/Canteen,1,0,1486576,22/00166/COMM,533,foodsafety@westminster.gov.uk,Westminster,http://www.westminster.gov.uk/,False,W1F 7TU,2025-10-30,fhrs_5_en-gb,5,FHRS,-0.1410777,51.5146894,0.0,0.0,0.0
